amfi_code,scheme_name,fund_house,sub_category,plan,benchmark_used,alpha_ann_pct,beta,r_squared,tracking_error_pct
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap,Regular,NIFTY100,3.7476,-0.0583,0.0027,19.9284
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Short Duration,Regular,NIFTY100,4.2818,0.0012,0.0,13.4535
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap,Regular,NIFTY100,27.1954,0.0051,0.0,22.8699
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap,Regular,NIFTY100,21.3998,0.0211,0.0003,19.2706
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap,Regular,BSE_SMALLCAP,11.9693,-0.0486,0.0017,34.6899
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Liquid,Regular,NIFTY100,6.0861,0.0003,0.0,12.8957
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Index,Regular,NIFTY50,16.9927,-0.0019,0.0,18.1926
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Mid Cap,Regular,NIFTY100,2.8969,-0.0421,0.0009,22.5608
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap,Regular,NIFTY500,16.5835,-0.015,0.0002,21.1266
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Large Cap,Regular,NIFTY100,21.8294,-0.0084,0.0001,19.2115
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap,Direct,NIFTY100,15.6438,-0.0366,0.0011,19.3449
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Small Cap,Regular,BSE_SMALLCAP,17.8177,0.0001,0.0,33.5755
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF,Direct,NIFTY50,15.1606,-0.0138,0.0002,18.4038
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Gilt,Regular,NIFTY100,5.0748,0.0013,0.0,13.4758
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Large Cap,Regular,NIFTY100,6.8995,0.0097,0.0001,18.9082
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap,Direct,NIFTY100,8.2328,0.0259,0.0006,18.79
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap,Regular,NIFTY100,26.0767,-0.0663,0.0019,23.7652
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Small Cap,Regular,BSE_SMALLCAP,5.7895,-0.0456,0.0016,34.1065
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Gilt,Regular,NIFTY100,5.6209,-0.0064,0.0004,13.5646
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap,Regular,NIFTY100,23.201,-0.0318,0.0009,19.1183
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap,Direct,NIFTY100,19.8686,-0.0262,0.0006,19.2127
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,Regular,BSE_SMALLCAP,31.5111,-0.0476,0.0018,34.1892
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,Direct,BSE_SMALLCAP,4.7784,0.0113,0.0001,33.192
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Large Cap,Regular,NIFTY100,17.7033,-0.0403,0.0014,19.2948
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,Direct,NIFTY100,21.1948,0.0162,0.0002,19.1587
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,Regular,NIFTY100,29.2636,0.0005,0.0,23.1968
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Value,Regular,NIFTY500,15.2088,0.0548,0.0025,20.0781
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Liquid,Regular,NIFTY100,6.7462,-0.0004,0.0001,12.9044
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Large Cap,Regular,NIFTY100,13.0429,0.0364,0.0012,18.3119
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap,Regular,NIFTY100,7.8044,0.0181,0.0002,21.9169
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,Regular,NIFTY500,27.7943,-0.0249,0.0005,21.3127
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Liquid,Regular,NIFTY100,6.4557,-0.0004,0.0001,12.9046
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap,Direct,NIFTY100,17.7298,0.0488,0.0018,19.1072
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Mid Cap,Direct,NIFTY100,11.9891,0.0091,0.0,22.3592
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,Regular,NIFTY100,26.9838,0.0237,0.0005,18.9664
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Large & Mid Cap,Regular,NIFTY100,20.873,-0.0264,0.0005,20.3213
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS,Regular,NIFTY500,27.5084,0.0382,0.0009,22.1344
