overall_rank,amfi_code,cagr_1yr_pct,cagr_3yr_pct,cagr_5yr_pct,sharpe_ratio,ann_return_pct,ann_vol_pct,alpha_ann_pct,beta,tracking_error_pct,max_drawdown_pct,scheme_name,fund_house,sub_category,plan,expense_ratio_pct,category,rank_3yr,rank_sharpe,rank_alpha,rank_expense,rank_maxdd,score_3yr,score_sharpe,score_alpha,score_expense,score_maxdd,composite_score
1,120505,29.6,31.78,28.38,0.8833,20.92,16.33,29.2636,0.0005,23.1968,-18.19,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,Regular,1.36,Equity,36.0,37.0,38.0,26.0,25.0,90.0,92.5,95.0,65.0,62.5,85.12
2,119094,22.26,35.11,24.45,0.7305,18.5,16.42,26.0767,-0.0663,23.7652,-20.96,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap,Regular,1.38,Equity,40.0,32.0,32.0,24.0,28.0,100.0,80.0,80.0,60.0,70.0,82.0
3,100033,53.23,32.44,26.07,0.8083,19.46,16.03,27.1954,0.0051,22.8699,-16.22,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap,Regular,1.38,Equity,37.0,34.0,35.0,24.0,20.0,92.5,85.0,87.5,60.0,50.0,80.5
4,148567,20.36,34.0,26.8,1.0682,19.35,12.03,26.9838,0.0237,18.9664,-11.27,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,Regular,1.46,Equity,39.0,40.0,34.0,18.0,8.0,97.5,100.0,85.0,45.0,20.0,80.0
5,120843,26.66,29.58,26.74,0.9656,19.49,13.45,27.7943,-0.0249,21.3127,-12.97,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,Regular,1.45,Equity,34.0,39.0,37.0,19.0,13.0,85.0,97.5,92.5,47.5,32.5,78.75
6,119598,82.78,26.67,28.03,0.7117,21.64,21.27,31.5111,-0.0476,34.1892,-28.71,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,Regular,1.43,Equity,29.0,28.0,40.0,20.0,36.0,72.5,70.0,100.0,50.0,90.0,75.75
7,149324,65.14,27.0,27.92,0.7144,21.52,21.02,29.3453,0.0285,32.8523,-31.17,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap,Regular,1.52,Equity,31.0,29.0,39.0,14.5,37.0,77.5,72.5,97.5,36.25,92.5,75.56
8,120504,13.06,32.49,20.23,0.7147,15.19,12.16,21.1948,0.0162,19.1587,-12.59,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,Direct,0.8,Equity,38.0,30.0,28.0,29.0,12.0,95.0,75.0,70.0,72.5,30.0,75.12
9,148569,39.75,29.18,27.63,0.919,20.25,14.96,27.5084,0.0382,22.1344,-16.4,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS,Regular,1.6,Equity,33.0,38.0,36.0,4.5,21.0,82.5,95.0,90.0,11.25,52.5,73.44
10,119551,60.44,30.46,22.38,0.861,16.52,11.64,23.201,-0.0318,19.1183,-15.01,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap,Regular,1.54,Equity,35.0,36.0,31.0,10.5,17.0,87.5,90.0,77.5,26.25,42.5,72.44
